user_id,matches,recomendations,train,eval
U_4441560,0,2,4,2
U_4441565,0,2,5,2
U_2490085,0,2,4,2
U_252353,0,3,7,3
U_252357,0,2,3,2
U_8171334,0,1,3,1
U_6175354,0,1,3,1
U_6807934,0,1,3,1
U_7634174,0,2,3,2
U_224167,0,6,16,6
U_7697632,0,1,3,1
U_149849,0,3,7,3
U_7591443,0,2,5,2
U_5090200,0,1,3,1
U_10485290,0,2,3,2
U_8031493,0,1,3,1
U_9915731,0,3,6,3
U_324070,0,3,7,3
U_9809319,0,2,4,2
U_7967931,0,1,3,1
U_1667456,0,1,3,1
U_6981549,0,2,4,2
U_2855215,0,2,3,2
U_8090415,0,2,4,2
U_7064616,0,2,4,2
U_8402113,0,2,3,2
U_10653976,0,2,5,2
U_791468,1,2,6,2
U_4815227,0,3,7,3
U_187202,0,2,4,2
U_10610423,0,3,8,3
U_2758582,0,1,3,1
U_9829745,0,1,3,1
U_8151984,0,3,6,3
U_10397966,0,5,12,5
U_6853610,0,1,3,1
U_2232906,0,1,3,1
U_1132682,0,1,3,1
U_10583971,1,2,4,2
U_10362769,0,3,6,3
U_6899330,0,2,4,2
U_3853176,0,3,7,3
U_10289318,0,1,3,1
U_10555514,0,1,3,1
U_3714914,0,2,6,2
U_7722966,0,4,12,4
U_253414,0,1,3,1
U_241824,0,2,4,2
U_8875747,0,1,3,1
U_8875745,0,2,4,2
U_10832775,0,1,3,1
U_9321882,0,2,6,2
U_8509042,0,1,3,1
U_8394469,0,2,3,2
U_5311670,0,2,5,2
U_10447552,0,1,3,1
U_9345802,0,2,4,2
U_710406,0,2,3,2
U_7050685,0,1,3,1
U_9557067,0,1,3,1
U_8665419,0,1,3,1
U_10243573,0,3,6,3
U_1540134,0,3,6,3
U_434879,0,1,3,1
U_9364409,0,1,3,1
U_8862657,0,2,5,2
U_9910381,0,1,3,1
U_6190684,0,2,3,2
U_6944754,0,3,8,3
U_10679291,0,1,3,1
U_10094023,0,2,6,2
U_6909552,0,4,11,4
U_1478068,0,2,6,2
U_2042974,0,1,3,1
U_6580403,0,12,35,12
U_9436339,0,1,3,1
U_7323537,0,2,5,2
U_8798004,0,4,12,4
U_8798007,0,1,3,1
U_8798003,0,2,6,2
U_8396849,0,1,3,1
U_8863404,0,2,4,2
U_7845196,0,2,4,2
U_7430902,0,1,3,1
U_482232,0,2,3,2
U_1135920,0,2,4,2
U_6859765,0,1,3,1
U_10791091,0,1,3,1
U_6166711,0,1,3,1
U_422086,0,2,4,2
U_422087,0,3,7,3
U_10388097,0,2,5,2
U_1637951,1,1,3,1
U_1829209,0,2,3,2
U_10677239,0,1,3,1
U_2991691,0,2,3,2
U_6767085,0,1,3,1
U_10560019,0,2,3,2
U_697558,0,2,3,2
U_7672876,0,3,6,3
U_6819937,0,2,5,2
U_8887211,0,2,3,2
U_6281829,0,2,5,2
U_9611799,0,1,3,1
U_214439,0,3,9,3
U_8242190,0,1,3,1
U_7781910,0,2,6,2
U_27602,0,3,9,3
U_20384,1,2,4,2
U_725891,0,2,6,2
U_7745668,0,1,3,1
U_9017457,0,2,3,2
U_9017454,0,2,3,2
U_10875222,0,4,9,4
U_9457867,0,1,3,1
U_8265119,0,3,9,3
U_6196947,0,1,3,1
U_10810671,1,2,3,2
U_160094,0,2,6,2
U_2294452,0,4,10,4
U_2839509,0,2,3,2
U_6435008,0,2,3,2
U_2978239,0,2,4,2
U_1046099,0,2,6,2
U_7148892,0,2,5,2
U_8769469,0,2,3,2
U_9715450,0,7,20,7
U_413950,0,3,6,3
U_9679076,0,2,5,2
U_1092263,0,2,5,2
U_9076052,0,2,4,2
U_10608573,1,1,3,1
U_1796350,0,1,3,1
U_8398518,0,1,3,1
U_8424009,0,1,3,1
U_8424002,0,2,4,2
U_4297762,0,2,3,2
U_650313,0,2,6,2
U_1790115,1,3,8,3
U_4465729,0,2,4,2
U_7447267,0,1,3,1
U_7200907,0,1,3,1
U_11787224,0,1,3,1
U_9812167,0,1,3,1
U_8108781,0,2,6,2
U_132420,0,2,4,2
U_4583353,0,2,3,2
U_9824618,0,2,4,2
U_8454332,0,2,6,2
U_3079450,0,2,4,2
U_9309184,0,2,3,2
U_3844796,0,3,9,3
U_260192,0,2,3,2
U_672027,0,2,6,2
U_10577881,1,2,3,2
U_2803845,0,1,3,1
U_757588,0,2,6,2
U_2809258,0,2,6,2
U_360427,0,1,3,1
U_9783411,0,1,3,1
U_1651742,1,2,4,2
U_472095,0,1,3,1
U_8485764,0,1,3,1
U_2297829,1,2,3,2
U_8098810,0,2,4,2
U_154067,0,3,7,3
U_71904,0,3,7,3
U_8030354,0,2,4,2
U_1512421,0,7,18,7
U_11835613,0,1,3,1
U_1091935,0,5,12,5
U_639571,0,2,4,2
U_523113,0,1,3,1
U_581479,0,1,3,1
U_8747865,0,2,3,2
U_546944,0,2,4,2
U_546946,0,1,3,1
U_11487578,1,3,9,3
U_318951,0,3,6,3
U_9974853,0,2,5,2
U_268801,0,2,3,2
U_7991840,1,3,7,3
U_2857987,0,1,3,1
U_3696433,0,4,11,4
U_9366354,0,1,3,1
U_372582,0,1,3,1
U_7053123,1,2,3,2
U_4418446,0,2,5,2
U_7026420,0,1,3,1
U_7651790,0,2,4,2
U_7651791,0,2,4,2
U_8701222,0,1,3,1
U_7132220,0,2,4,2
U_9316811,0,2,3,2
U_8476652,0,3,9,3
U_421995,0,2,3,2
U_5316084,2,2,3,2
U_156554,0,2,5,2
U_11591759,0,2,3,2
U_6074534,0,2,6,2
U_8700439,0,1,3,1
U_8693343,0,1,3,1
U_9481276,0,1,3,1
U_3707692,0,3,6,3
U_6592731,0,1,3,1
U_611180,0,1,3,1
U_611188,0,1,3,1
U_712256,0,1,3,1
U_10580672,0,2,3,2
U_7988287,0,1,3,1
U_1897309,0,2,3,2
U_1092347,0,1,3,1
U_11763948,0,1,3,1
U_2603850,0,2,5,2
U_6948398,0,3,8,3
U_7852500,0,1,3,1
U_8381019,0,1,3,1
U_311294,0,2,4,2
U_10250928,0,2,3,2
U_7004301,0,1,3,1
U_10931923,0,1,3,1
U_657917,0,2,5,2
U_8522090,0,1,3,1
U_1523013,0,1,3,1
U_65946,0,2,3,2
U_8275462,0,1,3,1
U_10033016,0,1,3,1
U_9263566,0,3,7,3
U_8032095,0,2,4,2
U_9680177,0,1,3,1
U_2904607,0,2,4,2
U_9774671,0,1,3,1
U_7082857,0,3,7,3
U_102328,0,1,3,1
U_8482053,1,2,3,2
U_8482059,1,2,6,2
U_627085,0,2,4,2
U_9413141,0,2,4,2
U_10630671,0,1,3,1
U_1946884,0,1,3,1
U_3057725,0,2,4,2
U_7542889,0,1,3,1
U_10888558,0,2,3,2
U_2048042,0,1,3,1
U_8483681,0,2,3,2
U_7665142,0,3,6,3
U_9499323,0,1,3,1
U_11374941,0,1,3,1
U_9419616,0,1,3,1
U_9013896,0,2,3,2
U_4440636,0,2,4,2
U_1080871,0,1,3,1
U_4497449,0,4,9,4
U_6397949,0,1,3,1
U_7141628,0,4,11,4
U_9466672,0,2,4,2
U_9365365,0,1,3,1
U_10800885,0,2,4,2
U_7067716,0,2,6,2
U_10281850,0,2,4,2
U_5097756,1,2,4,2
U_8485514,0,2,3,2
U_2286243,0,2,3,2
U_430057,0,1,3,1
U_3828592,1,3,7,3
U_7989939,0,2,3,2
U_10623195,0,1,3,1
U_10032755,0,2,4,2
U_7150916,0,1,3,1
U_4786950,0,3,6,3
U_7074685,0,2,3,2
U_8508846,0,2,5,2
U_11478496,0,1,3,1
U_7116770,0,1,3,1
U_8806617,0,2,4,2
U_111810,0,2,3,2
U_4805886,0,2,3,2
U_9332577,0,1,3,1
U_5441603,0,1,3,1
U_757840,0,2,6,2
U_6347870,0,1,3,1
U_8074208,0,2,3,2
U_8074209,0,2,3,2
U_9580246,0,2,5,2
U_9704646,0,1,3,1
U_2329188,0,2,4,2
U_7354076,1,3,6,3
U_7672233,0,1,3,1
U_6323736,0,3,6,3
U_11096238,0,2,3,2
U_7749679,0,1,3,1
U_2651606,0,2,4,2
U_8089865,0,2,6,2
U_37474,1,2,3,2
U_2632639,0,1,3,1
U_6346663,0,1,3,1
U_9370846,0,2,6,2
U_10008173,0,1,3,1
U_8386486,0,1,3,1
U_8745806,0,3,6,3
U_2443115,0,4,9,4
U_9483567,0,1,3,1
U_8662901,0,2,4,2
U_320661,0,1,3,1
U_7448377,0,2,5,2
U_7365590,0,1,3,1
U_553072,0,2,4,2
U_614757,0,3,6,3
U_11485701,0,1,3,1
U_6540251,0,2,5,2
U_6687763,0,2,3,2
U_6712072,0,2,6,2
U_9320628,0,1,3,1
U_6907308,0,2,3,2
U_9557124,0,1,3,1
U_457444,0,3,7,3
U_2790079,0,2,4,2
U_8404027,0,2,4,2
U_10889917,0,1,3,1
U_9482555,0,1,3,1
U_8154693,0,2,5,2
U_8733199,0,2,5,2
U_2584203,0,1,3,1
U_9325617,0,2,6,2
U_6909230,0,3,7,3
U_10704498,0,1,3,1
U_456615,0,2,3,2
U_74833,0,2,4,2
U_1094418,0,2,6,2
U_8814460,0,1,3,1
U_9799713,0,1,3,1
U_8718659,0,2,5,2
U_6546270,0,2,3,2
U_8721865,0,1,3,1
U_4730913,0,3,6,3
U_3718138,0,2,3,2
U_428344,0,2,4,2
U_7637890,0,2,5,2
U_9908699,1,1,3,1
U_6318143,0,3,6,3
U_1987613,0,1,3,1
U_8523530,0,2,4,2
U_2749101,0,2,4,2
U_8415995,0,1,3,1
U_8415990,0,1,3,1
U_10677150,0,1,3,1
U_11579407,0,1,3,1
U_9276451,0,1,3,1
U_7281753,0,2,4,2
U_343947,0,2,3,2
U_6113946,0,2,3,2
U_7371960,0,1,3,1
U_267623,0,4,12,4
U_644916,0,4,10,4
U_6649528,1,4,10,4
U_35428,0,1,3,1
U_6858407,0,2,4,2
U_2200997,0,2,6,2
U_10495247,0,3,6,3
U_9345418,0,2,3,2
U_4375743,0,2,4,2
U_6678738,0,1,3,1
U_8442543,0,2,6,2
U_8442540,0,1,3,1
U_343016,0,2,4,2
U_8562774,0,3,9,3
U_8038794,1,2,3,2
U_10747957,1,2,3,2
U_8098252,0,3,7,3
U_7179478,0,1,3,1
U_7325813,0,1,3,1
U_8438596,0,1,3,1
U_1078092,0,3,6,3
U_10567606,0,1,3,1
U_1091736,0,2,4,2
U_1091739,0,2,3,2
U_9889245,0,5,15,5
U_603607,0,2,4,2
U_8734731,1,1,3,1
U_5776070,0,1,3,1
U_9090272,0,2,3,2
U_3383113,0,2,3,2
U_8495868,0,1,3,1
U_8429713,0,1,3,1
U_10863832,0,2,3,2
U_2533702,0,2,3,2
U_5175436,0,1,3,1
U_8370895,0,1,3,1
U_3632368,0,1,3,1
U_10300993,0,3,8,3
U_2092318,1,2,3,2
U_10572642,0,2,4,2
U_10314822,0,2,5,2
U_322087,0,1,3,1
U_3055573,0,2,3,2
U_10591397,0,2,6,2
U_6988092,1,2,3,2
U_10504619,0,2,3,2
U_10615260,0,1,3,1
U_295601,0,1,3,1
U_220400,0,2,4,2
U_220407,0,2,3,2
U_413109,0,3,8,3
U_413108,0,1,3,1
U_9951231,0,1,3,1
U_10879075,1,2,3,2
U_547747,0,1,3,1
U_6926457,0,1,3,1
U_6158197,0,5,14,5
U_757483,0,2,3,2
U_8840228,0,2,5,2
U_9460217,0,1,3,1
U_9460212,0,3,9,3
U_138815,0,1,3,1
U_9712884,0,1,3,1
U_7382156,0,2,3,2
U_8249514,0,1,3,1
U_817941,0,1,3,1
