user_id,num_recomendations,evaluate,matches
U_10125805,2,2,1
U_10126254,3,3,2
U_10126626,2,2,1
U_10126728,2,2,2
U_10128919,2,2,1
U_10129101,2,2,1
U_1012921,2,2,1
U_10129335,3,3,0
U_10129536,2,2,0
U_10130303,4,4,2
U_10130964,2,2,1
U_10132138,4,4,2
U_10132151,2,2,2
U_10132215,2,2,1
U_10132664,2,2,1
U_10133198,2,2,0
U_10134071,3,3,1
U_1013440,2,2,2
U_10134875,4,4,3
U_10135284,2,2,2
U_10135549,3,3,2
U_10135638,2,2,1
U_10135794,2,2,2
U_10135955,3,3,2
U_10136079,2,2,2
U_10136350,2,2,2
U_10136573,2,2,1
U_10136656,2,2,1
U_10136681,2,2,2
U_1013887,2,2,1
U_10139313,2,2,1
U_1013965,17,17,7
U_10139888,2,2,2
U_10140938,5,5,3
U_10141056,2,2,2
U_1014112,2,2,1
U_10141412,2,2,1
U_10141792,2,2,1
U_10143098,2,2,1
U_10143499,3,3,2
U_10144041,2,2,2
U_10144393,2,2,1
U_10144813,2,2,1
U_10145905,3,3,0
U_10146301,2,2,1
U_10146667,2,2,2
U_10146988,2,2,2
U_101472,3,3,3
U_10147359,3,3,2
U_10147572,2,2,1
U_1014890,2,2,2
U_10150443,3,3,2
U_1015059,2,2,1
U_10150862,3,3,2
U_10151167,2,2,1
U_10151225,2,2,2
U_10151370,2,2,2
U_10151436,2,2,1
U_10151656,3,3,1
U_10151753,2,2,1
U_10151882,2,2,1
U_10152317,3,3,2
U_1015252,2,2,2
U_10153566,2,2,2
U_10154069,2,2,1
U_10154226,2,2,1
U_10154272,2,2,2
U_1015460,2,2,2
U_10154939,2,2,2
U_10154996,2,2,2
U_10155364,3,3,2
U_10155969,2,2,2
U_10156440,2,2,2
U_10156821,2,2,1
U_10157191,2,2,1
U_10157619,3,3,2
U_10159022,2,2,2
U_10159055,2,2,2
U_10159560,2,2,2
U_10159576,2,2,2
U_10159837,2,2,2
U_10160592,2,2,1
U_1016079,4,4,2
U_10160911,3,3,3
U_10161155,2,2,1
U_10161192,2,2,1
U_1016130,3,3,3
U_10161397,2,2,2
U_10161843,2,2,1
U_10162455,2,2,2
U_10163352,2,2,2
U_10163466,3,3,1
U_10163756,2,2,1
U_10163943,2,2,1
U_10164244,2,2,2
U_10165440,2,2,1
U_10165904,2,2,1
U_10166183,2,2,1
U_1016645,6,6,5
U_10166622,2,2,1
U_10167714,2,2,1
U_10167751,2,2,1
U_10168315,2,2,1
U_10169347,3,3,2
U_10169380,2,2,2
U_10170034,2,2,2
U_10170216,3,3,2
U_10170259,2,2,2
U_10170503,3,3,1
U_10171193,2,2,1
U_1017147,2,2,1
U_10171479,2,2,1
U_10171489,5,5,2
U_1017192,2,2,2
U_10172179,2,2,2
U_10173174,2,2,2
U_10173243,2,2,2
U_10173737,2,2,2
U_1017477,3,3,2
U_10174797,2,2,2
U_10175198,2,2,2
U_10175538,9,9,3
U_10175632,2,2,1
U_10176487,2,2,2
U_10177164,2,2,1
U_10177258,8,8,2
U_10177345,3,3,3
U_1017891,3,3,1
U_10179161,4,4,2
U_101792,5,5,3
U_10179840,3,3,1
U_1018007,3,3,2
U_1018019,4,4,1
U_10180819,2,2,1
U_10180945,10,10,4
U_1018110,3,3,1
U_10181111,2,2,1
U_10181590,2,2,1
U_10181714,2,2,1
U_1018270,2,2,1
U_10182721,2,2,1
U_10183894,3,3,2
U_1018416,2,2,2
U_1018521,4,4,3
U_10185708,2,2,1
U_10185714,2,2,1
U_10185865,3,3,2
U_101859,2,2,1
U_10186099,2,2,2
U_101863,2,2,1
U_10186347,2,2,2
U_10186561,2,2,2
